,SEASON,Player,POS,AGE,TEAM,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ast_pct,blk_pct,bpm,dbpm,drb_pct,dws,fg3a_per_fga_pct,fta_per_fga_pct,mp,obpm,orb_pct,ows,per,stl_pct,tov_pct,trb_pct,ts_pct,usg_pct,vorp,ws,ws_per_48
0,2022,Omer Yurtseven,C,23,MIA,9,0.0,4.2,1.3,2.0,0.667,0.0,0.2,0.0,1.3,1.8,0.75,0.667,0.1,0.3,0.333,0.1,0.7,0.8,0.3,0.0,0.1,0.0,0.2,2.8,16.6,2.9,8.0,2.8,19.3,0.0,0.111,0.167,38.0,5.1,3.0,0.1,25.8,0.0,0.0,10.8,0.647,22.6,0.1,0.2,0.228
1,2022,Kessler Edwards,SF,21,BRK,2,0.0,3.5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.5,1.5,0.0,17.5,0.0,-4.4,6.4,0.0,0.0,,,7.0,-10.8,0.0,0.0,-2.2,7.3,100.0,0.0,,6.6,0.0,0.0,-0.104
2,2022,Draymond Green,PF,31,GSW,22,22.0,32.0,3.1,6.5,0.479,0.4,1.8,0.205,2.8,4.8,0.581,0.507,1.4,2.1,0.638,1.2,6.0,7.2,6.3,1.1,1.0,2.7,4.0,8.0,25.7,3.2,0.9,2.9,20.6,1.0,0.271,0.326,703.0,-2.0,4.3,0.4,12.3,1.8,26.4,12.7,0.534,14.0,0.5,1.4,0.094
3,2022,Danny Green,SF,34,PHI,12,12.0,26.6,3.0,7.4,0.404,2.6,6.3,0.408,0.4,1.1,0.385,0.579,0.0,0.1,0.0,0.8,2.3,3.1,0.8,1.0,0.3,1.1,1.9,8.6,4.9,1.2,1.3,0.9,10.3,0.3,0.854,0.011,319.0,0.4,3.6,0.0,9.9,2.0,12.7,7.1,0.576,15.1,0.3,0.3,0.049
4,2022,Devonte' Graham,PG,26,NOP,6,0.0,10.0,1.0,3.0,0.333,0.8,2.3,0.357,0.2,0.7,0.25,0.472,1.2,1.3,0.875,0.3,1.2,1.5,0.7,0.2,0.2,0.7,0.5,4.0,9.4,1.4,-1.1,-1.0,14.7,0.0,0.778,0.444,60.0,-0.2,3.7,0.1,11.5,0.9,15.7,8.9,0.558,18.3,0.0,0.1,0.049
5,2022,Aaron Gordon,PF,26,DEN,5,5.0,32.0,4.6,10.8,0.426,0.6,3.0,0.2,4.0,7.8,0.513,0.454,4.0,5.6,0.714,3.6,3.6,7.2,2.6,0.4,1.2,1.6,2.8,13.8,12.0,3.9,-1.3,-2.2,14.4,0.0,0.278,0.519,160.0,0.9,13.5,0.3,15.7,0.6,10.8,13.9,0.52,20.2,0.0,0.2,0.063
6,2022,Rudy Gobert,C,29,UTA,6,6.0,32.8,3.5,5.5,0.636,0.0,0.0,,3.5,5.5,0.636,0.636,5.0,7.3,0.682,3.5,9.7,13.2,0.5,0.2,1.0,1.3,3.2,12.0,2.4,3.8,2.3,0.1,34.1,0.2,0.0,1.333,197.0,2.2,12.5,0.6,19.4,0.3,13.3,23.3,0.688,14.3,0.2,0.7,0.182
7,2022,Danilo Gallinari,PF,33,ATL,5,3.0,22.4,3.6,9.0,0.4,0.8,3.0,0.267,2.8,6.0,0.467,0.444,2.2,2.2,1.0,0.4,3.8,4.2,0.8,0.2,0.0,1.0,1.2,10.2,6.4,0.0,-1.8,-1.3,20.9,0.0,0.333,0.244,112.0,-0.6,2.1,0.0,10.8,0.5,9.1,11.3,0.512,22.5,0.0,0.0,0.011
8,2022,Bryn Forbes,SG,28,DEN,5,0.0,15.2,1.2,3.0,0.4,0.8,2.2,0.364,0.4,0.8,0.5,0.533,0.8,1.0,0.8,0.2,0.4,0.6,1.4,0.2,0.0,0.4,1.4,4.0,12.4,0.0,-2.8,-1.9,3.4,-0.1,0.733,0.333,76.0,-0.8,1.6,0.1,7.8,0.7,10.4,2.4,0.581,11.0,0.0,0.0,0.028
9,2022,Malachi Flynn,PG,23,TOR,6,0.0,6.0,0.0,1.2,0.0,0.0,0.5,0.0,0.0,0.7,0.0,0.0,0.0,0.0,,0.3,0.2,0.5,0.5,0.2,0.0,0.2,1.0,0.0,10.6,0.0,-14.4,-2.9,3.8,0.0,0.429,0.0,36.0,-11.5,6.2,-0.1,-5.7,1.5,12.5,5.1,0.0,10.3,-0.1,-0.2,-0.219
